time,id,myrank,sentvn,mypparent,pparentrank,nneighbors,children,sentDIS,sentDIO,generatedDAO,forwardedDAO,generatedNPDAO,forwardedNPDAO,ttlsent,receivedDIS,receivedDIO,receivedDAO,ttlrcvd,forwardeddata,attack
1801.78,13,512 ,103 ,1 ,256 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,3 ,0 ,3,1140 ,0, 0 
1801.795,3,534 ,103 ,1 ,256 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,2,836 ,0, 0 
1920.969,8,531 ,103 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,2 ,0 ,1 ,1 ,2,1171 ,0, 0 
1921.087,11,1417 ,103 ,9 ,1114 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,3 ,0 ,3,1961 ,0, 0 
1921.133,2,512 ,103 ,1 ,256 ,1 ,0 ,0 ,26 ,0 ,58 ,0 ,0 ,84 ,112 ,21 ,58 ,191,1887 ,0, 0 
1921.222,18,886 ,103 ,19 ,518 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,3 ,0 ,0 ,1 ,1,1875 ,0, 0 
1921.244,4,803 ,103 ,8 ,534 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,3 ,0 ,3,1484 ,0, 0 
1921.271,6,875 ,103 ,2 ,512 ,1 ,0 ,120 ,1 ,16 ,0 ,0 ,0 ,137 ,0 ,86 ,0 ,86,2519 ,0, 1 
1921.298,7,1404 ,103 ,9 ,1076 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,45 ,0 ,45,1887 ,0, 0 
1921.346,14,557 ,103 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,2 ,0 ,38 ,1 ,39,1491 ,0, 0 
1921.359,15,1418 ,103 ,9 ,1114 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0,1937 ,0, 0 
1921.369,20,1602 ,103 ,12 ,1249 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,1394 ,0, 0 
1921.37,16,792 ,103 ,2 ,512 ,0 ,0 ,0 ,25 ,9 ,18 ,0 ,0 ,52 ,113 ,31 ,18 ,162,2382 ,0, 0 
1921.453,10,989 ,103 ,14 ,563 ,0 ,0 ,0 ,25 ,1 ,0 ,0 ,0 ,26 ,113 ,1 ,0 ,114,1529 ,0, 0 
1921.49,12,1199 ,103 ,18 ,871 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,0 ,3 ,0 ,3,1608 ,0, 0 
1921.605,9,1072 ,103 ,5 ,787 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,25 ,0 ,25,2866 ,0, 0 
1921.611,5,1002 ,103 ,2 ,512 ,3 ,0 ,0 ,1 ,16 ,0 ,0 ,0 ,17 ,0 ,23 ,0 ,23,2655 ,0, 0 
1921.615,19,515 ,103 ,1 ,256 ,2 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,2 ,0 ,23 ,1 ,24,1674 ,0, 0 
1921.706,17,1099 ,103 ,16 ,792 ,0 ,0 ,0 ,25 ,19 ,0 ,0 ,0 ,44 ,112 ,25 ,0 ,137,1842 ,0, 0 
1921.78,13,512 ,103 ,1 ,256 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,20 ,0 ,20,1441 ,0, 0 
1921.795,3,534 ,103 ,1 ,256 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0,1204 ,0, 0 
2040.969,8,527 ,103 ,1 ,256 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1,1167 ,0, 0 
2041.087,11,1370 ,103 ,9 ,1072 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,3 ,0 ,2 ,0 ,2,2266 ,0, 0 
2041.133,2,512 ,103 ,1 ,256 ,1 ,0 ,0 ,26 ,0 ,70 ,0 ,0 ,96 ,112 ,20 ,70 ,202,1821 ,0, 0 
2041.222,18,855 ,103 ,19 ,518 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,2 ,0 ,0 ,1 ,1,1693 ,0, 0 
2041.244,4,799 ,103 ,8 ,534 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0,1434 ,0, 0 
2041.276,6,846 ,103 ,2 ,512 ,1 ,0 ,120 ,0 ,16 ,0 ,0 ,0 ,136 ,0 ,82 ,0 ,82,2910 ,0, 1 
2041.298,7,1400 ,103 ,9 ,1072 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,2 ,0 ,43 ,0 ,43,2411 ,0, 0 
2041.346,14,548 ,103 ,1 ,256 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,34 ,0 ,34,1246 ,0, 0 
2041.359,15,1429 ,103 ,9 ,1088 ,1 ,0 ,0 ,1 ,2 ,0 ,0 ,0 ,3 ,0 ,4 ,0 ,4,2033 ,0, 0 
2041.369,20,1602 ,103 ,12 ,1249 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2,1837 ,0, 0 
2041.37,16,814 ,103 ,2 ,512 ,0 ,0 ,0 ,25 ,18 ,18 ,0 ,0 ,61 ,110 ,39 ,18 ,167,2862 ,0, 0 
2041.453,10,942 ,103 ,14 ,563 ,0 ,0 ,0 ,26 ,0 ,0 ,0 ,0 ,26 ,114 ,0 ,0 ,114,1412 ,0, 0 
